epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.358,1.00748,2.01596,1.31031,0.96856,0.127,0.15773,0.11888,1.09331,2.60207,1.37128,0.0003636,0.0003636,0.0003636
2,521.373,1.018,1.40442,1.31943,0.93952,0.13836,0.15815,0.11175,1.12739,1.86468,1.46331,0.000719401,0.000719401,0.000719401
3,724.036,1.00256,1.30788,1.31606,0.92507,0.12373,0.1396,0.09403,1.22649,1.95312,1.58801,0.00106054,0.00106054,0.00106054
4,929.429,1.05683,1.31346,1.34198,0.92998,0.14663,0.15942,0.09487,1.39262,1.79567,1.75751,0.00104501,0.00104501,0.00104501
5,1133.42,1.045,1.23492,1.33008,0.939,0.15298,0.17413,0.11551,1.14585,1.50432,1.43112,0.00102301,0.00102301,0.00102301
6,1339.05,0.97272,1.11845,1.28113,0.92682,0.15916,0.20017,0.12407,1.1986,1.41894,1.45966,0.00100101,0.00100101,0.00100101
7,1543.25,1.01458,1.11242,1.31154,0.93615,0.15998,0.17808,0.11689,1.12334,1.46509,1.42075,0.000979013,0.000979013,0.000979013
8,1746.48,0.99164,1.08796,1.28562,0.94666,0.16679,0.19572,0.12197,1.13743,1.2964,1.40798,0.000957015,0.000957015,0.000957015
9,1950.24,0.92649,0.98511,1.24199,0.93545,0.15451,0.17225,0.11007,1.19311,1.36434,1.49455,0.000935018,0.000935018,0.000935018
10,2154.04,0.97021,0.98214,1.26626,0.94711,0.16114,0.18667,0.12164,1.12857,1.16467,1.42201,0.00091302,0.00091302,0.00091302
11,2357.31,0.96742,0.98883,1.264,0.95428,0.16399,0.19045,0.13136,1.0133,1.16955,1.32048,0.000891022,0.000891022,0.000891022
12,2560.61,0.89962,0.90321,1.22633,0.93237,0.15243,0.18789,0.10462,1.26903,1.48341,1.56958,0.000869024,0.000869024,0.000869024
13,2763.58,0.92204,0.93288,1.22541,0.95923,0.16223,0.19053,0.12923,1.07486,1.10195,1.35758,0.000847026,0.000847026,0.000847026
14,2965.61,0.87826,0.88264,1.20911,0.96231,0.16533,0.19589,0.14022,1.00153,0.9993,1.2982,0.000825029,0.000825029,0.000825029
15,3170.01,0.92766,0.91192,1.22642,0.95702,0.1637,0.19526,0.13828,0.9803,1.03623,1.28322,0.000803031,0.000803031,0.000803031
16,3372.95,0.8753,0.86242,1.22522,0.45709,0.16406,0.19217,0.13303,1.0108,1.04683,1.28354,0.000781033,0.000781033,0.000781033
17,3574.75,0.86658,0.82555,1.21231,0.96448,0.16786,0.20123,0.14401,0.92342,0.93708,1.24481,0.000759035,0.000759035,0.000759035
18,3778,0.8826,0.85701,1.21376,0.9639,0.17334,0.21045,0.14797,0.93876,0.94784,1.24565,0.000737037,0.000737037,0.000737037
19,3981.27,0.85774,0.81252,1.19343,0.96144,0.17333,0.20455,0.14958,0.88499,0.90972,1.22247,0.00071504,0.00071504,0.00071504
20,4182.82,0.83271,0.77022,1.17377,0.96079,0.1657,0.19702,0.14275,0.9378,0.93585,1.25233,0.000693042,0.000693042,0.000693042
21,4384.15,0.81179,0.7689,1.16784,0.9586,0.1602,0.1923,0.13658,1.00773,0.96502,1.28772,0.000671044,0.000671044,0.000671044
22,4586.01,0.82278,0.73611,1.15995,0.19798,0.19923,0.21033,0.1509,0.93416,0.83,1.21338,0.000649046,0.000649046,0.000649046
23,4788.91,0.80774,0.73452,1.16634,0.70437,0.1706,0.20666,0.14516,0.94342,0.93401,1.2407,0.000627048,0.000627048,0.000627048
24,4992.18,0.81834,0.75652,1.18096,0.46235,0.17678,0.21517,0.14939,0.93377,0.85293,1.21492,0.000605051,0.000605051,0.000605051
25,5194.2,0.78869,0.69337,1.14941,0.46532,0.17714,0.20393,0.1482,0.9195,0.84458,1.21123,0.000583053,0.000583053,0.000583053
26,5397.01,0.78693,0.68519,1.15094,0.46434,0.17364,0.21146,0.15323,0.91338,0.82857,1.21096,0.000561055,0.000561055,0.000561055
27,5598.22,0.79608,0.71056,1.156,0.80373,0.18577,0.22977,0.15899,0.92741,0.89143,1.22616,0.000539057,0.000539057,0.000539057
28,5799.49,0.77699,0.69282,1.15821,0.44724,0.21978,0.21321,0.1543,0.89838,0.81216,1.21291,0.000517059,0.000517059,0.000517059
29,6002.24,0.76627,0.68544,1.13695,0.70901,0.18205,0.21062,0.15423,0.88413,0.80198,1.19877,0.000495062,0.000495062,0.000495062
30,6204.81,0.78887,0.67127,1.13162,0.95403,0.18405,0.20513,0.15205,0.87747,0.78286,1.18633,0.000473064,0.000473064,0.000473064
31,6407.86,0.77305,0.66152,1.1264,0.71362,0.17787,0.21611,0.15579,0.89971,0.78418,1.21094,0.000451066,0.000451066,0.000451066
32,6610.5,0.76397,0.65384,1.12891,0.97092,0.18083,0.21964,0.15905,0.8811,0.74521,1.1974,0.000429068,0.000429068,0.000429068
33,6813.83,0.77019,0.64826,1.12156,0.71985,0.18405,0.22348,0.16374,0.87322,0.734,1.18216,0.00040707,0.00040707,0.00040707
34,7016.11,0.75037,0.66619,1.13293,0.95951,0.18707,0.21686,0.15839,0.86098,0.76045,1.17827,0.000385073,0.000385073,0.000385073
35,7218.78,0.75308,0.6365,1.11636,0.76967,0.20177,0.22196,0.16287,0.86638,0.7414,1.17285,0.000363075,0.000363075,0.000363075
36,7419.59,0.7252,0.60314,1.10662,0.50973,0.20177,0.21654,0.15937,0.87993,0.7356,1.19036,0.000341077,0.000341077,0.000341077
37,7621.47,0.71904,0.61328,1.10769,0.73069,0.19451,0.21739,0.15926,0.86593,0.72565,1.18196,0.000319079,0.000319079,0.000319079
38,7823.74,0.72101,0.60626,1.09557,0.81277,0.19741,0.22138,0.16226,0.87183,0.70486,1.18888,0.000297081,0.000297081,0.000297081
39,8024.55,0.7052,0.58302,1.09689,0.76861,0.21078,0.22424,0.16348,0.86626,0.72551,1.1767,0.000275084,0.000275084,0.000275084
40,8225.85,0.69771,0.57069,1.0881,0.76321,0.21278,0.22673,0.16548,0.85166,0.70989,1.16141,0.000253086,0.000253086,0.000253086
41,8424.47,0.66795,0.57449,1.07296,0.9715,0.18497,0.21773,0.1592,0.83785,0.71009,1.16116,0.000231088,0.000231088,0.000231088
42,8623.09,0.64477,0.53511,1.04329,0.76757,0.21685,0.23033,0.16446,0.8447,0.7496,1.1553,0.00020909,0.00020909,0.00020909
43,8822.4,0.62654,0.52616,1.03032,0.87011,0.20006,0.23881,0.16735,0.83929,0.69892,1.15802,0.000187092,0.000187092,0.000187092
44,9021.91,0.62387,0.49879,1.03671,0.81804,0.23322,0.24888,0.17673,0.82623,0.67786,1.14856,0.000165095,0.000165095,0.000165095
45,9221.26,0.6267,0.49482,1.03118,0.94297,0.21889,0.24203,0.17397,0.84798,0.68248,1.1545,0.000143097,0.000143097,0.000143097
46,9418.33,0.62346,0.48944,1.03448,0.92786,0.20745,0.23455,0.17218,0.83143,0.65439,1.15388,0.000121099,0.000121099,0.000121099
47,9615.83,0.61711,0.47371,1.02352,0.9263,0.20979,0.24125,0.17618,0.80892,0.66227,1.13793,9.91012e-05,9.91012e-05,9.91012e-05
